iter	Passed	Remaining
634	9853	5663
635	9865	5646
636	9879	5629
637	9892	5613
638	9905	5596
639	9918	5578
640	9933	5563
641	9946	5546
642	9969	5535
643	9997	5526
644	10015	5512
645	10028	5495
646	10040	5477
647	10052	5460
648	10066	5444
649	10080	5428
650	10097	5413
651	10114	5398
652	10126	5381
653	10141	5365
654	10162	5352
655	10181	5338
656	10195	5322
657	10208	5306
658	10221	5289
659	10233	5271
660	10249	5256
661	10267	5242
662	10283	5226
663	10298	5211
664	10314	5195
665	10327	5179
666	10342	5163
667	10355	5146
668	10375	5133
669	10383	5114
670	10399	5099
671	10411	5081
672	10425	5065
673	10437	5048
674	10452	5032
675	10466	5016
676	10480	5000
677	10493	4983
678	10509	4968
679	10521	4951
680	10533	4934
681	10548	4918
682	10558	4900
683	10574	4885
684	10591	4870
685	10609	4856
686	10623	4839
687	10634	4822
688	10649	4807
689	10666	4792
690	10680	4775
691	10692	4759
692	10708	4743
693	10719	4726
694	10732	4710
695	10747	4694
696	10757	4676
697	10781	4664
698	10802	4651
699	10818	4636
700	10830	4619
701	10844	4603
702	10859	4587
703	10875	4572
704	10892	4557
705	10905	4541
706	10918	4524
707	10929	4507
708	10944	4492
709	10960	4476
710	10983	4464
711	10999	4449
712	11009	4431
713	11021	4414
714	11032	4397
715	11045	4381
716	11071	4370
717	11094	4357
718	11105	4340
719	11117	4323
720	11128	4306
721	11144	4290
722	11156	4274
723	11172	4259
724	11192	4245
725	11206	4229
726	11219	4213
727	11235	4197
728	11267	4188
729	11283	4173
730	11298	4157
731	11309	4140
732	11321	4124
733	11335	4108
734	11346	4090
735	11358	4074
736	11377	4060
737	11395	4045
738	11414	4031
739	11429	4015
740	11444	4000
741	11456	3983
742	11472	3968
743	11489	3953
744	11501	3936
745	11514	3920
746	11525	3903
747	11536	3886
748	11547	3869
749	11564	3854
750	11581	3839
751	11599	3825
752	11614	3809
753	11649	3800
754	11666	3785
755	11684	3771
756	11701	3756
757	11716	3740
758	11733	3725
759	11747	3709
760	11767	3695
761	11783	3680
762	11796	3664
763	11809	3648
764	11823	3632
765	11836	3615
766	11851	3600
767	11864	3584
768	11878	3568
769	11893	3552
770	11905	3536
771	11917	3519
772	11932	3504
773	11946	3488
774	11960	3472
775	11974	3456
776	11988	3440
777	12002	3424
778	12014	3408
779	12028	3392
780	12041	3376
781	12057	3361
782	12073	3346
783	12090	3330
784	12106	3315
785	12117	3299
786	12133	3283
787	12149	3268
788	12163	3252
789	12177	3237
790	12192	3221
791	12209	3206
792	12226	3191
793	12240	3175
794	12264	3162
795	12287	3149
796	12304	3134
797	12316	3117
798	12328	3101
799	12342	3085
800	12355	3069
801	12371	3054
802	12385	3038
803	12397	3022
804	12408	3005
805	12423	2990
806	12438	2974
807	12456	2959
808	12474	2945
809	12490	2929
810	12504	2914
811	12515	2897
812	12526	2881
813	12540	2865
814	12557	2850
815	12571	2834
816	12585	2818
817	12600	2803
818	12616	2788
819	12630	2772
820	12647	2757
821	12659	2741
822	12677	2726
823	12697	2712
824	12714	2696
825	12731	2681
826	12747	2666
827	12762	2651
828	12779	2636
829	12795	2620
830	12811	2605
831	12828	2590
832	12843	2574
833	12859	2559
834	12875	2544
835	12892	2529
836	12908	2513
837	12917	2497
838	12931	2481
839	12946	2466
840	12964	2451
841	12978	2435
842	12992	2419
843	13006	2403
844	13018	2388
845	13034	2372
846	13047	2356
847	13062	2341
848	13075	2325
849	13102	2312
850	13125	2298
851	13139	2282
852	13151	2266
853	13160	2249
854	13173	2234
855	13186	2218
856	13198	2202
857	13216	2187
858	13232	2172
859	13250	2157
860	13267	2141
861	13282	2126
862	13295	2110
863	13309	2094
864	13327	2079
865	13342	2064
866	13358	2049
867	13373	2033
868	13387	2018
869	13402	2002
870	13417	1987
871	13430	1971
872	13445	1955
873	13466	1941
874	13482	1926
875	13493	1910
876	13506	1894
877	13522	1878
878	13538	1863
879	13555	1848
880	13569	1832
881	13581	1816
882	13610	1803
883	13627	1788
884	13644	1772
885	13658	1757
886	13671	1741
887	13685	1726
888	13700	1710
889	13718	1695
890	13736	1680
891	13752	1665
892	13766	1649
893	13779	1633
894	13791	1617
895	13804	1602
896	13818	1586
897	13834	1571
898	13855	1556
899	13872	1541
900	13884	1525
901	13905	1510
902	13922	1495
903	13937	1480
904	13955	1464
905	13967	1449
906	13978	1433
907	13989	1417
908	14002	1401
909	14020	1386
910	14045	1372
911	14065	1357
912	14080	1341
913	14102	1326
914	14119	1311
915	14135	1296
916	14154	1281
917	14168	1265
918	14183	1250
919	14202	1234
920	14216	1219
921	14236	1204
922	14252	1189
923	14268	1173
924	14279	1157
925	14293	1142
926	14306	1126
927	14320	1111
928	14338	1095
929	14355	1080
930	14368	1064
931	14379	1049
932	14395	1033
933	14408	1018
934	14423	1002
935	14437	987
936	14452	971
937	14468	956
938	14480	940
939	14492	925
940	14507	909
941	14550	895
942	14565	880
943	14578	864
944	14593	849
945	14607	833
946	14620	818
947	14633	802
948	14646	787
949	14662	771
950	14675	756
951	14691	740
952	14704	725
953	14721	709
954	14742	694
955	14759	679
956	14771	663
957	14784	648
958	14795	632
959	14810	617
960	14824	601
961	14838	586
962	14853	570
963	14864	555
964	14878	539
965	14892	524
966	14908	508
967	14926	493
968	14943	478
969	14951	462
970	14964	446
971	14977	431
972	14985	415
973	14996	400
974	15012	384
975	15018	369
976	15036	353
977	15043	338
978	15055	322
979	15069	307
980	15087	292
981	15104	276
982	15174	262
983	15196	247
984	15230	231
985	15243	216
986	15257	200
987	15274	185
988	15287	170
989	15304	154
990	15323	139
991	15339	123
992	15355	108
993	15365	92
994	15379	77
995	15392	61
996	15408	46
997	15421	30
998	15433	15
999	15447	0
